trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.95}",25,0,-125.92792085389384,"{0: 17, 1: 1, 2: 4, 3: 1, 4: 2}",0
2,False,"{'a': 0.5, 'e': 0.8999999999999999}",25,0,-184.00780516284604,"{0: 15, 1: 2, 2: 3, 3: 2, 4: 3}",0
3,False,"{'a': 0.5, 'e': 0.8499999999999999}",25,0,-85.24017094998118,"{0: 15, 1: 1, 2: 8, 3: 1, 4: 0}",0
4,False,"{'a': 0.5, 'e': 0.7999999999999998}",20,0,-64.35233193843887,"{0: 17, 1: 1, 2: 0, 3: 0, 4: 2}",0
5,False,"{'a': 0.5, 'e': 0.7499999999999998}",20,0,-126.39796946455485,"{0: 14, 1: 2, 2: 1, 3: 0, 4: 3}",0
6,False,"{'a': 0.5, 'e': 0.6999999999999997}",20,0,-174.06442746915937,"{0: 9, 1: 1, 2: 6, 3: 2, 4: 2}",0
7,False,"{'a': 0.5, 'e': 0.6499999999999997}",20,0,-73.44313744485518,"{0: 13, 1: 2, 2: 4, 3: 0, 4: 1}",0
8,False,"{'a': 0.5, 'e': 0.5999999999999996}",25,0,-139.02317041557072,"{0: 17, 1: 1, 2: 4, 3: 0, 4: 3}",0
9,False,"{'a': 0.5, 'e': 0.5499999999999996}",25,0,-90.46757294449932,"{0: 17, 1: 2, 2: 4, 3: 1, 4: 1}",0
10,False,"{'a': 0.5, 'e': 0.4999999999999996}",30,0,-107.15615328115385,"{0: 22, 1: 3, 2: 2, 3: 1, 4: 2}",0
11,False,"{'a': 0.5, 'e': 0.4499999999999996}",25,0,-75.27345051347802,"{0: 20, 1: 2, 2: 1, 3: 0, 4: 2}",0
12,False,"{'a': 0.5, 'e': 0.39999999999999963}",25,0,-67.36932452695119,"{0: 19, 1: 2, 2: 2, 3: 1, 4: 1}",0
13,False,"{'a': 0.5, 'e': 0.34999999999999964}",25,7,-134.77420502424667,"{0: 10, 1: 2, 2: 2, 3: 2, 4: 2}",1
14,False,"{'a': 0.5, 'e': 0.29999999999999966}",20,0,-25.592056232482157,"{0: 15, 1: 2, 2: 3, 3: 0, 4: 0}",0
15,False,"{'a': 0.5, 'e': 0.24999999999999967}",20,0,-34.872383950107135,"{0: 17, 1: 0, 2: 2, 3: 0, 4: 1}",0
16,False,"{'a': 0.5, 'e': 0.19999999999999968}",25,0,-104.36419798815687,"{0: 17, 1: 1, 2: 4, 3: 2, 4: 1}",0
17,False,"{'a': 0.5, 'e': 0.1499999999999997}",20,0,17.252825687577335,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
18,False,"{'a': 0.5, 'e': 0.09999999999999969}",25,12,-21.459299735345752,"{0: 11, 1: 0, 2: 0, 3: 2, 4: 0}",1
19,False,"{'a': 0.5, 'e': 0.049999999999999684}",20,3,-3.18379246110332,"{0: 15, 1: 1, 2: 0, 3: 1, 4: 0}",1
20,False,"{'a': 0.5, 'e': -3.191891195797325e-16}",20,2,-39.822681811926586,"{0: 16, 1: 0, 2: 0, 3: 1, 4: 1}",1
1,True,"{'a': 0, 'e': 0}",20,3,-38.74678090348494,"{0: 13, 1: 1, 2: 2, 3: 0, 4: 1}",1
2,True,"{'a': 0, 'e': 0}",25,11,4.580038535523242,"{0: 13, 1: 0, 2: 0, 3: 1, 4: 0}",1
3,True,"{'a': 0, 'e': 0}",25,0,31.950119273580317,"{0: 24, 1: 1, 2: 0, 3: 0, 4: 0}",0
4,True,"{'a': 0, 'e': 0}",20,6,6.377520080084575,"{0: 13, 1: 0, 2: 0, 3: 1, 4: 0}",1
5,True,"{'a': 0, 'e': 0}",20,0,-71.00278211075394,"{0: 16, 1: 1, 2: 1, 3: 0, 4: 2}",0
6,True,"{'a': 0, 'e': 0}",25,0,34.41316388845048,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
7,True,"{'a': 0, 'e': 0}",20,8,-5.675236556908381,"{0: 11, 1: 0, 2: 0, 3: 1, 4: 0}",1
8,True,"{'a': 0, 'e': 0}",30,3,3.6983274139186273,"{0: 26, 1: 0, 2: 0, 3: 0, 4: 1}",1
9,True,"{'a': 0, 'e': 0}",20,16,4.38550302506016,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
10,True,"{'a': 0, 'e': 0}",25,14,-4.153095956739728,"{0: 10, 1: 0, 2: 0, 3: 1, 4: 0}",1
