trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.995}",20,0,-150.07807169254684,"{0: 9, 1: 5, 2: 3, 3: 1, 4: 2}",0
2,False,"{'a': 0.5, 'e': 0.990025}",30,0,-133.19922294786946,"{0: 19, 1: 3, 2: 6, 3: 0, 4: 2}",0
3,False,"{'a': 0.5, 'e': 0.985074875}",20,0,-94.94757548277988,"{0: 13, 1: 0, 2: 5, 3: 1, 4: 1}",0
4,False,"{'a': 0.5, 'e': 0.980149500625}",35,6,-88.13207515685606,"{0: 20, 1: 2, 2: 6, 3: 0, 4: 1}",1
5,False,"{'a': 0.5, 'e': 0.975248753121875}",30,0,-195.4365326662041,"{0: 18, 1: 3, 2: 4, 3: 2, 4: 3}",0
6,False,"{'a': 0.5, 'e': 0.9703725093562656}",25,0,-84.96433679451309,"{0: 18, 1: 0, 2: 5, 3: 1, 4: 1}",0
7,False,"{'a': 0.5, 'e': 0.9655206468094842}",20,0,-79.78425607983675,"{0: 15, 1: 2, 2: 1, 3: 0, 4: 2}",0
8,False,"{'a': 0.5, 'e': 0.9606930435754368}",25,0,-116.46348516149389,"{0: 13, 1: 6, 2: 4, 3: 1, 4: 1}",0
9,False,"{'a': 0.5, 'e': 0.9558895783575596}",25,0,-126.39894682111729,"{0: 17, 1: 1, 2: 4, 3: 1, 4: 2}",0
10,False,"{'a': 0.5, 'e': 0.9511101304657719}",20,0,-134.92619745240657,"{0: 13, 1: 1, 2: 3, 3: 0, 4: 3}",0
11,False,"{'a': 0.5, 'e': 0.946354579813443}",25,0,-84.21519494054584,"{0: 16, 1: 3, 2: 5, 3: 0, 4: 1}",0
12,False,"{'a': 0.5, 'e': 0.9416228069143757}",20,0,-123.92982842725233,"{0: 12, 1: 0, 2: 6, 3: 0, 4: 2}",0
13,False,"{'a': 0.5, 'e': 0.9369146928798039}",20,0,-34.14598211438792,"{0: 17, 1: 0, 2: 2, 3: 0, 4: 1}",0
14,False,"{'a': 0.5, 'e': 0.9322301194154049}",30,10,-156.70267271868963,"{0: 8, 1: 4, 2: 5, 3: 1, 4: 2}",1
15,False,"{'a': 0.5, 'e': 0.9275689688183278}",20,0,-51.82062396616656,"{0: 15, 1: 2, 2: 2, 3: 0, 4: 1}",0
16,False,"{'a': 0.5, 'e': 0.9229311239742362}",20,0,-104.75794255895293,"{0: 13, 1: 2, 2: 3, 3: 0, 4: 2}",0
17,False,"{'a': 0.5, 'e': 0.918316468354365}",25,0,-53.67840281863671,"{0: 17, 1: 3, 2: 4, 3: 1, 4: 0}",0
18,False,"{'a': 0.5, 'e': 0.9137248860125932}",25,0,-81.76539986049345,"{0: 19, 1: 0, 2: 3, 3: 2, 4: 1}",0
19,False,"{'a': 0.5, 'e': 0.9091562615825302}",20,0,-77.6946612345551,"{0: 12, 1: 3, 2: 2, 3: 3, 4: 0}",0
20,False,"{'a': 0.5, 'e': 0.9046104802746175}",30,2,-55.110851849778676,"{0: 21, 1: 0, 2: 6, 3: 1, 4: 0}",1
21,False,"{'a': 0.5, 'e': 0.9000874278732445}",20,0,-137.17316477491582,"{0: 13, 1: 2, 2: 2, 3: 0, 4: 3}",0
22,False,"{'a': 0.5, 'e': 0.8955869907338783}",20,0,-19.51005757537685,"{0: 16, 1: 1, 2: 3, 3: 0, 4: 0}",0
23,False,"{'a': 0.5, 'e': 0.8911090557802088}",20,0,-71.27075728697429,"{0: 14, 1: 1, 2: 4, 3: 0, 4: 1}",0
24,False,"{'a': 0.5, 'e': 0.8866535105013078}",20,0,-87.3363452699407,"{0: 14, 1: 3, 2: 1, 3: 0, 4: 2}",0
25,False,"{'a': 0.5, 'e': 0.8822202429488012}",35,0,-233.67783753955908,"{0: 19, 1: 5, 2: 5, 3: 3, 4: 3}",0
26,False,"{'a': 0.5, 'e': 0.8778091417340572}",20,0,-209.9946432998954,"{0: 10, 1: 1, 2: 4, 3: 1, 4: 4}",0
27,False,"{'a': 0.5, 'e': 0.873420096025387}",20,0,-19.28936268630636,"{0: 16, 1: 0, 2: 4, 3: 0, 4: 0}",0
28,False,"{'a': 0.5, 'e': 0.86905299554526}",25,14,-20.814575599568954,"{0: 8, 1: 1, 2: 1, 3: 1, 4: 0}",1
29,False,"{'a': 0.5, 'e': 0.8647077305675337}",25,0,-137.04024709154015,"{0: 17, 1: 1, 2: 3, 3: 2, 4: 2}",0
30,False,"{'a': 0.5, 'e': 0.8603841919146961}",25,10,-61.652996218134454,"{0: 11, 1: 0, 2: 2, 3: 1, 4: 1}",1
31,False,"{'a': 0.5, 'e': 0.8560822709551226}",25,0,-204.44109250602747,"{0: 14, 1: 1, 2: 6, 3: 0, 4: 4}",0
32,False,"{'a': 0.5, 'e': 0.8518018596003469}",25,0,-127.23554698573317,"{0: 14, 1: 1, 2: 8, 3: 1, 4: 1}",0
33,False,"{'a': 0.5, 'e': 0.8475428503023452}",20,0,-48.285533988089504,"{0: 16, 1: 1, 2: 2, 3: 0, 4: 1}",0
34,False,"{'a': 0.5, 'e': 0.8433051360508335}",20,0,-121.73699959495653,"{0: 13, 1: 0, 2: 4, 3: 1, 4: 2}",0
35,False,"{'a': 0.5, 'e': 0.8390886103705792}",25,20,7.695295328563427,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
36,False,"{'a': 0.5, 'e': 0.8348931673187264}",25,0,-142.45140787462554,"{0: 17, 1: 3, 2: 1, 3: 1, 4: 3}",0
37,False,"{'a': 0.5, 'e': 0.8307187014821328}",20,0,-81.16844864573207,"{0: 11, 1: 3, 2: 4, 3: 2, 4: 0}",0
38,False,"{'a': 0.5, 'e': 0.826565107974722}",30,0,-144.42127727401703,"{0: 21, 1: 2, 2: 4, 3: 0, 4: 3}",0
39,False,"{'a': 0.5, 'e': 0.8224322824348484}",30,0,-64.07585490198132,"{0: 22, 1: 4, 2: 3, 3: 0, 4: 1}",0
40,False,"{'a': 0.5, 'e': 0.8183201210226743}",20,0,-87.11591106033875,"{0: 13, 1: 3, 2: 1, 3: 2, 4: 1}",0
41,False,"{'a': 0.5, 'e': 0.8142285204175609}",20,3,-22.251677401732582,"{0: 13, 1: 2, 2: 1, 3: 1, 4: 0}",1
42,False,"{'a': 0.5, 'e': 0.810157377815473}",25,11,-40.54298954219458,"{0: 12, 1: 0, 2: 0, 3: 1, 4: 1}",1
43,False,"{'a': 0.5, 'e': 0.8061065909263957}",20,0,-84.13647375686588,"{0: 14, 1: 0, 2: 4, 3: 1, 4: 1}",0
44,False,"{'a': 0.5, 'e': 0.8020760579717637}",25,0,-127.85749141493355,"{0: 16, 1: 4, 2: 1, 3: 2, 4: 2}",0
45,False,"{'a': 0.5, 'e': 0.7980656776819048}",30,0,-49.82856759155696,"{0: 21, 1: 5, 2: 3, 3: 1, 4: 0}",0
46,False,"{'a': 0.5, 'e': 0.7940753492934953}",20,0,-101.48080664704975,"{0: 14, 1: 2, 2: 1, 3: 1, 4: 2}",0
47,False,"{'a': 0.5, 'e': 0.7901049725470278}",20,0,-97.99143631207312,"{0: 11, 1: 2, 2: 6, 3: 0, 4: 1}",0
48,False,"{'a': 0.5, 'e': 0.7861544476842928}",20,0,-122.6963542112801,"{0: 11, 1: 1, 2: 5, 3: 2, 4: 1}",0
49,False,"{'a': 0.5, 'e': 0.7822236754458712}",20,0,-59.67032602462018,"{0: 14, 1: 2, 2: 3, 3: 0, 4: 1}",0
50,False,"{'a': 0.5, 'e': 0.7783125570686419}",30,4,-63.76793127271821,"{0: 18, 1: 0, 2: 7, 3: 1, 4: 0}",1
51,False,"{'a': 0.5, 'e': 0.7744209942832987}",20,0,2.9047909579563655,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
52,False,"{'a': 0.5, 'e': 0.7705488893118821}",30,9,-167.55424263310343,"{0: 12, 1: 0, 2: 6, 3: 0, 4: 3}",1
53,False,"{'a': 0.5, 'e': 0.7666961448653228}",25,0,-86.94587119464738,"{0: 14, 1: 3, 2: 7, 3: 1, 4: 0}",0
54,False,"{'a': 0.5, 'e': 0.7628626641409961}",35,0,-154.26475323775108,"{0: 24, 1: 1, 2: 6, 3: 2, 4: 2}",0
55,False,"{'a': 0.5, 'e': 0.7590483508202912}",25,0,-71.8178659121917,"{0: 16, 1: 2, 2: 6, 3: 1, 4: 0}",0
56,False,"{'a': 0.5, 'e': 0.7552531090661897}",30,3,-64.99827313924293,"{0: 21, 1: 0, 2: 5, 3: 0, 4: 1}",1
